Sample Number (10000 samples per second),temperature (),setpoint (),control signal ()
0,26.4,28.0,99.0
1,26.42,28.0,99.0
2,26.42,28.0,99.0
3,26.43,28.0,26.45
4,26.44,28.0,99.0
5,26.44,28.0,99.0
6,26.45,28.0,99.0
7,26.46,28.0,99.0
8,26.46,28.0,99.0
9,26.48,28.0,99.0
10,26.48,28.0,99.0
11,26.48,28.0,99.0
12,26.48,28.0,99.0
13,26.49,28.0,99.0
14,26.5,28.0,99.0
15,26.5,28.0,99.0
16,26.51,28.0,99.0
17,26.52,28.0,99.0
18,26.53,28.0,99.0
19,26.53,28.0,99.0
20,26.53,28.0,99.0
21,26.53,28.0,99.0
22,26.54,28.0,99.0
23,26.55,28.0,99.0
24,26.56,28.0,99.0
25,26.56,28.0,99.0
26,26.57,28.0,99.0
27,26.56,28.0,99.0
28,26.58,28.0,99.0
29,26.58,28.0,99.0
30,26.59,28.0,99.0
31,26.6,28.0,99.0
32,26.61,28.0,99.0
33,26.61,28.0,99.0
34,26.62,28.0,99.0
35,26.62,28.0,99.0
36,26.63,28.0,99.0
37,26.65,28.0,99.0
38,26.64,28.0,99.0
39,26.64,28.0,99.0
40,26.66,28.0,99.0
41,26.67,28.0,99.0
42,26.68,28.0,99.0
43,26.68,28.0,99.0
44,26.69,28.0,99.0
45,26.69,28.0,99.0
46,26.71,28.0,99.0
47,26.71,28.0,99.0
48,26.71,28.0,99.0
49,26.72,28.0,99.0
50,26.74,28.0,99.0
51,26.73,28.0,99.0
52,26.74,28.0,99.0
53,26.76,28.0,99.0
54,26.75,28.0,99.0
55,26.77,28.0,99.0
56,26.78,28.0,99.0
57,26.78,28.0,99.0
58,26.78,28.0,99.0
59,26.79,28.0,99.0
60,26.8,28.0,99.0
61,26.8,28.0,99.0
62,26.81,28.0,99.0
63,26.82,28.0,99.0
64,26.82,28.0,99.0
65,26.83,28.0,99.0
66,26.84,28.0,99.0
67,26.84,28.0,99.0
68,26.85,28.0,99.0
69,26.85,28.0,99.0
70,26.86,28.0,99.0
71,26.87,28.0,99.0
72,26.88,28.0,99.0
73,26.88,28.0,99.0
74,26.89,28.0,99.0
75,26.9,28.0,99.0
76,26.91,28.0,99.0
77,26.91,28.0,99.0
78,26.92,28.0,99.0
79,26.92,28.0,99.0
80,26.92,28.0,99.0
81,26.94,28.0,99.0
82,26.95,28.0,99.0
83,26.94,28.0,99.0
84,26.95,28.0,99.0
85,26.97,28.0,99.0
86,26.97,28.0,99.0
87,26.97,28.0,99.0
88,26.99,28.0,99.0
89,26.99,28.0,99.0
90,26.99,28.0,99.0
91,27.0,28.0,99.0
92,27.0,28.0,99.0
93,27.01,28.0,99.0
94,27.02,28.0,99.0
95,27.03,28.0,99.0
96,27.04,28.0,99.0
97,27.04,28.0,99.0
98,27.05,28.0,99.0
99,27.07,28.0,99.0
100,27.07,28.0,99.0
101,27.08,28.0,99.0
102,27.07,28.0,99.0
103,27.09,28.0,99.0
104,27.1,28.0,99.0
105,27.1,28.0,99.0
106,27.11,28.0,99.0
107,27.12,28.0,99.0
108,27.12,28.0,99.0
109,27.13,28.0,99.0
110,27.13,28.0,99.0
111,27.15,28.0,99.0
112,27.15,28.0,99.0
113,27.16,28.0,99.0
114,27.16,28.0,99.0
115,27.17,28.0,99.0
116,27.18,28.0,99.0
117,27.18,28.0,99.0
118,27.19,28.0,99.0
119,27.19,28.0,99.0
120,27.2,28.0,99.0
121,27.21,28.0,99.0
122,27.21,28.0,99.0
123,27.22,28.0,99.0
124,27.23,28.0,99.0
125,27.22,28.0,99.0
126,27.23,28.0,99.0
127,27.25,28.0,99.0
128,27.25,28.0,99.0
129,27.26,28.0,99.0
130,27.26,28.0,99.0
131,27.27,28.0,99.0
132,27.28,28.0,99.0
133,27.28,28.0,99.0
134,27.29,28.0,99.0
135,27.29,28.0,99.0
136,27.31,28.0,99.0
137,27.32,28.0,99.0
138,27.32,28.0,99.0
139,27.32,28.0,99.0
140,27.33,28.0,99.0
141,27.33,28.0,99.0
142,27.33,28.0,99.0
143,27.35,28.0,99.0
144,27.35,28.0,99.0
145,27.35,28.0,99.0
146,27.37,28.0,99.0
147,27.38,28.0,99.0
148,27.38,28.0,99.0
149,27.39,28.0,99.0
150,27.4,28.0,99.0
151,27.41,28.0,99.0
152,27.41,28.0,99.0
153,27.42,28.0,99.0
154,27.42,28.0,99.0
155,27.43,28.0,99.0
156,27.43,28.0,99.0
157,27.44,28.0,99.0
158,27.44,28.0,99.0
159,27.45,28.0,99.0
160,27.45,28.0,99.0
161,27.47,28.0,99.0
162,27.48,28.0,99.0
163,27.48,28.0,99.0
164,27.48,28.0,99.0
165,27.49,28.0,99.0
166,27.49,28.0,99.0
167,27.51,28.0,99.0
168,27.5,28.0,99.0
169,27.51,28.0,99.0
170,27.52,28.0,99.0
171,27.52,28.0,99.0
172,27.53,28.0,99.0
173,27.53,28.0,99.0
174,27.53,28.0,99.0
175,27.54,28.0,99.0
176,27.54,28.0,99.0
177,27.55,28.0,99.0
178,27.56,28.0,99.0
179,27.56,28.0,99.0
180,27.57,28.0,99.0
181,27.57,28.0,99.0
182,27.57,28.0,99.0
183,27.58,28.0,99.0
184,27.58,28.0,99.0
185,27.59,28.0,99.0
186,27.6,28.0,99.0
187,27.61,28.0,99.0
188,27.61,28.0,99.0
189,27.61,28.0,99.0
190,27.61,28.0,99.0
191,27.62,28.0,99.0
192,27.62,28.0,99.0
193,27.63,28.0,99.0
194,27.64,28.0,99.0
195,27.64,28.0,99.0
196,27.65,28.0,99.0
197,27.65,28.0,99.0
198,27.65,28.0,99.0
199,27.66,28.0,99.0
200,27.67,28.0,99.0
201,27.67,28.0,99.0
202,27.68,28.0,99.0
203,27.69,28.0,99.0
204,27.71,28.0,99.0
205,27.71,28.0,99.0
206,27.7,28.0,99.0
207,27.72,28.0,99.0
208,27.72,28.0,99.0
209,27.72,28.0,99.0
210,27.73,28.0,99.0
211,27.73,28.0,99.0
212,27.74,28.0,99.0
213,27.74,28.0,99.0
214,27.74,28.0,99.0
215,27.76,28.0,99.0
216,27.76,28.0,99.0
217,27.76,28.0,99.0
218,27.76,28.0,99.0
219,27.77,28.0,99.0
220,27.77,28.0,99.0
221,27.77,28.0,99.0
222,27.78,28.0,99.0
223,27.79,28.0,99.0
224,27.78,28.0,99.0
225,27.79,28.0,99.0
226,27.8,28.0,99.0
227,27.81,28.0,99.0
228,27.81,28.0,99.0
229,27.82,28.0,99.0
230,27.81,28.0,99.0
231,27.83,28.0,99.0
232,27.82,28.0,99.0
233,27.83,28.0,99.0
234,27.83,28.0,99.0
235,27.84,28.0,99.0
236,27.83,28.0,99.0
237,27.84,28.0,99.0
238,27.84,28.0,99.0
239,27.85,28.0,99.0
240,27.85,28.0,99.0
241,27.86,28.0,99.0
242,27.86,28.0,99.0
243,27.87,28.0,99.0
244,27.87,28.0,99.0
245,27.87,28.0,99.0
246,27.88,28.0,99.0
247,27.89,28.0,99.0
248,27.88,28.0,99.0
249,27.89,28.0,99.0
250,27.89,28.0,99.0
251,27.9,28.0,99.0
252,27.9,28.0,99.0
253,27.91,28.0,99.0
254,27.91,28.0,99.0
255,27.92,28.0,99.0
256,27.91,28.0,99.0
257,27.91,28.0,99.0
258,27.92,28.0,99.0
259,27.93,28.0,99.0
260,27.93,28.0,99.0
261,27.94,28.0,99.0
262,27.94,28.0,99.0
263,27.94,28.0,99.0
264,27.95,28.0,99.0
265,27.95,28.0,99.0
266,27.95,28.0,99.0
267,27.95,28.0,99.0
268,27.96,28.0,99.0
269,27.97,28.0,99.0
270,27.97,28.0,99.0
271,27.98,28.0,99.0
272,27.98,28.0,99.0
273,27.98,28.0,99.0
274,27.99,28.0,99.0
275,27.99,28.0,99.0
276,27.99,28.0,99.0
277,27.98,28.0,99.0
278,27.99,28.0,99.0
279,28.01,28.0,99.0
280,28.03,28.0,99.0
281,28.02,28.0,99.0
282,28.02,28.0,99.0
283,28.04,28.0,99.0
284,28.04,28.0,99.0
285,28.03,28.0,99.0
286,28.05,28.0,99.0
287,28.04,28.0,99.0
288,28.05,28.0,99.0
289,28.06,28.0,99.0
290,28.06,28.0,99.0
291,28.07,28.0,99.0
292,28.07,28.0,99.0
293,28.07,28.0,99.0
294,28.07,28.0,99.0
295,28.07,28.0,99.0
296,28.08,28.0,99.0
297,28.08,28.0,99.0
298,28.08,28.0,99.0
299,28.08,28.0,99.0
300,28.08,28.0,99.0
301,28.09,28.0,99.0
302,28.09,28.0,99.0
303,28.09,28.0,99.0
304,28.09,28.0,99.0
305,28.1,28.0,99.0
306,28.1,28.0,99.0
307,28.1,28.0,99.0
308,28.1,28.0,99.0
309,28.1,28.0,99.0
310,28.11,28.0,99.0
311,28.12,28.0,99.0
312,28.11,28.0,99.0
313,28.11,28.0,99.0
314,28.12,28.0,99.0
315,28.13,28.0,99.0
316,28.12,28.0,99.0
317,28.13,28.0,99.0
318,28.12,28.0,99.0
319,28.13,28.0,99.0
320,28.14,28.0,99.0
321,28.14,28.0,99.0
322,28.13,28.0,99.0
323,28.14,28.0,99.0
324,28.14,28.0,99.0
325,28.15,28.0,99.0
326,28.15,28.0,99.0
327,28.15,28.0,99.0
328,28.15,28.0,99.0
329,28.17,28.0,99.0
330,28.17,28.0,99.0
331,28.17,28.0,99.0
332,28.17,28.0,99.0
333,28.17,28.0,99.0
334,28.17,28.0,99.0
335,28.18,28.0,99.0
336,28.17,28.0,99.0
337,28.18,28.0,99.0
338,28.19,28.0,99.0
339,28.19,28.0,99.0
340,28.19,28.0,99.0
341,28.19,28.0,99.0
342,28.2,28.0,99.0
343,28.19,28.0,99.0
344,28.21,28.0,99.0
345,28.22,28.0,99.0
346,28.21,28.0,99.0
347,28.22,28.0,99.0
348,28.22,28.0,99.0
349,28.22,28.0,99.0
350,28.22,28.0,99.0
351,28.23,28.0,99.0
352,28.23,28.0,99.0
353,28.25,28.0,99.0
354,28.24,28.0,99.0
355,28.25,28.0,99.0
356,28.25,28.0,99.0
357,28.25,28.0,99.0
358,28.25,28.0,99.0
359,28.26,28.0,99.0
360,28.25,28.0,99.0
361,28.27,28.0,99.0
362,28.26,28.0,99.0
363,28.26,28.0,99.0
364,28.27,28.0,99.0
365,28.27,28.0,99.0
366,28.27,28.0,99.0
367,28.28,28.0,99.0
368,28.28,28.0,99.0
369,28.29,28.0,99.0
370,28.29,28.0,99.0
371,28.29,28.0,99.0
372,28.29,28.0,99.0
373,28.29,28.0,99.0
374,28.29,28.0,99.0
375,28.29,28.0,99.0
376,28.3,28.0,99.0
377,28.31,28.0,99.0
378,28.31,28.0,99.0
379,28.31,28.0,99.0
380,28.31,28.0,99.0
381,28.31,28.0,99.0
382,28.31,28.0,99.0
383,28.31,28.0,99.0
384,28.33,28.0,99.0
385,28.33,28.0,99.0
386,28.33,28.0,99.0
387,28.34,28.0,99.0
388,28.34,28.0,99.0
389,28.34,28.0,99.0
390,28.34,28.0,99.0
391,28.34,28.0,99.0
392,28.34,28.0,99.0
393,28.35,28.0,99.0
394,28.36,28.0,99.0
395,28.35,28.0,99.0
396,28.36,28.0,99.0
397,28.36,28.0,99.0
398,28.37,28.0,99.0
399,28.37,28.0,99.0
400,28.37,28.0,99.0
401,28.37,28.0,99.0
402,28.37,28.0,99.0
403,28.38,28.0,99.0
404,28.37,28.0,99.0
405,28.39,28.0,99.0
406,28.38,28.0,99.0
407,28.38,28.0,99.0
408,28.38,28.0,99.0
409,28.39,28.0,99.0
410,28.4,28.0,99.0
411,28.39,28.0,99.0
412,28.39,28.0,99.0
413,28.4,28.0,99.0
414,28.4,28.0,99.0
415,28.4,28.0,99.0
416,28.41,28.0,99.0
417,28.41,28.0,99.0
418,28.42,28.0,99.0
419,28.41,28.0,99.0
420,28.42,28.0,99.0
421,28.42,28.0,99.0
422,28.43,28.0,99.0
423,28.43,28.0,99.0
424,28.43,28.0,99.0
425,28.43,28.0,99.0
426,28.43,28.0,99.0
427,28.44,28.0,99.0
428,28.44,28.0,99.0
429,28.45,28.0,99.0
430,28.45,28.0,99.0
431,28.45,28.0,99.0
432,28.45,28.0,99.0
433,28.46,28.0,99.0
434,28.45,28.0,99.0
435,28.46,28.0,99.0
436,28.46,28.0,99.0
437,28.47,28.0,99.0
438,28.47,28.0,99.0
439,28.47,28.0,99.0
440,28.47,28.0,99.0
441,28.47,28.0,99.0
442,28.48,28.0,99.0
443,28.47,28.0,99.0
444,28.48,28.0,99.0
445,28.48,28.0,99.0
446,28.48,28.0,99.0
447,28.49,28.0,99.0
448,28.48,28.0,99.0
449,28.49,28.0,99.0
450,28.49,28.0,99.0
451,28.49,28.0,99.0
452,28.5,28.0,99.0
453,28.5,28.0,99.0
454,28.51,28.0,99.0
455,28.51,28.0,99.0
456,28.51,28.0,99.0
457,28.51,28.0,99.0
458,28.52,28.0,99.0
459,28.53,28.0,99.0
460,28.53,28.0,99.0
461,28.52,28.0,99.0
462,28.54,28.0,99.0
463,28.53,28.0,99.0
464,28.54,28.0,99.0
465,28.53,28.0,99.0
466,28.53,28.0,99.0
467,28.53,28.0,99.0
468,28.54,28.0,99.0
469,28.54,28.0,99.0
470,28.55,28.0,99.0
471,28.54,28.0,99.0
472,28.56,28.0,99.0
473,28.56,28.0,99.0
474,28.55,28.0,99.0
475,28.56,28.0,99.0
476,28.55,28.0,99.0
477,28.54,28.0,99.0
478,28.54,28.0,99.0
479,28.55,28.0,99.0
480,28.55,28.0,99.0
481,28.54,28.0,99.0
482,28.55,28.0,99.0
483,28.55,28.0,99.0
484,28.56,28.0,99.0
485,28.56,28.0,99.0
486,28.56,28.0,99.0
487,28.56,28.0,99.0
488,28.56,28.0,99.0
489,28.56,28.0,99.0
490,28.57,28.0,99.0
491,28.57,28.0,99.0
492,28.58,28.0,99.0
